2021.02.26 16:56:20  Logdatei für Schaltvorgänge der Relais initialisiert
2021.02.27 13:01:52 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:06:30 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:08:21 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:11:07 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 13:11:08 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:16:06 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 13:16:07 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:17:03 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:19:50 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:25:22 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 13:25:23 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:30:21 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 13:32:13 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:38:42 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 13:38:43 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:43:41 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 13:43:42 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 13:48:19 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 13:48:20 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 13:53:18 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 14:12:46 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 14:14:38 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 14:15:33 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 14:22:01 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 14:22:02 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 14:27:00 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 14:29:48 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 14:36:17 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 14:36:18 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 14:42:55 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 14:42:56 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 14:44:47 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 14:47:34 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 14:53:08 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 14:54:58 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 14:56:38 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 15:01:16 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 15:06:19 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 15:07:15 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 15:10:34 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 15:11:30 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 15:19:48 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 15:21:39 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 15:28:18 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 15:31:05 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 15:52:39 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 16:02:51 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 16:04:31 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 16:06:22 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 16:27:56 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 16:30:43 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 04:31:11 ............ neuer Tag .........................................
2021.02.28 04:31:11 Kessel Nachttarif-Ladung               HK2 GPIO 26 eingeschaltet             
2021.02.28 04:46:09 Boiler Nachttarif-Ladung               BK1 GPIO 19 eingeschaltet             
2021.02.28 05:16:02 Boiler Nacht(BK1)- / Direktladung(DK1) KK1 GPIO 19 ausgeschaltet             
2021.02.28 05:24:19 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.02.28 08:08:35 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 08:09:30 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 08:11:10 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 08:34:20 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 08:39:19 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 08:43:02 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 09:26:12 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 09:27:07 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 09:28:47 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 09:39:11 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 09:44:10 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 09:46:57 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 09:56:55 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 10:15:27 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 10:28:46 Kessel Direkt-Ladung                   DK2 GPIO 26 eingeschaltet             
2021.02.28 10:48:44 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 10:48:46 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.02.28 11:59:14 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 12:05:42 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 12:05:43 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 12:10:41 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 12:11:37 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 12:17:10 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 12:17:11 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 12:22:09 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 12:22:10 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 12:28:38 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 12:28:39 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 12:33:37 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 13:00:31 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:06:59 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 13:07:00 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:11:58 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 13:11:59 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:17:31 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 13:17:32 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:24:10 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 13:24:11 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:28:49 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:29:44 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:30:40 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:31:35 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 13:33:14 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 13:36:02 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:37:53 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:47:09 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:51:47 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:52:43 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 13:54:33 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 13:54:34 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 13:59:32 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 13:59:33 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 14:01:24 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 14:02:19 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 14:06:01 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 14:06:02 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 14:12:39 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 14:12:40 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 14:19:09 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 14:19:10 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 14:24:08 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 14:58:26 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:01:12 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:01:13 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 15:07:50 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 15:07:51 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:14:20 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:14:21 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 15:19:19 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 15:19:20 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:21:10 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:21:11 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 15:26:09 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 15:26:10 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:30:47 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:30:48 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 15:34:06 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 15:34:07 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:37:48 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:37:49 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.28 15:49:26 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.28 15:49:27 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.28 15:53:08 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.28 15:53:09 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.03.01 01:32:28 ............ neuer Tag .........................................
2021.03.01 01:32:28 Kessel Direkt-Ladung                   DK2 GPIO 26 eingeschaltet             
2021.03.01 02:02:21 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.03.01 04:30:05 Kessel Nachttarif-Ladung               HK2 GPIO 26 eingeschaltet             
2021.03.01 04:46:42 Boiler Nachttarif-Ladung               BK1 GPIO 19 eingeschaltet             
2021.03.01 05:18:14 Boiler Nacht(BK1)- / Direktladung(DK1) KK1 GPIO 19 ausgeschaltet             
2021.03.01 05:24:51 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.03.01 08:15:45 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 08:25:01 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 08:48:15 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 08:50:06 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 08:58:25 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:02:07 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:07:11 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:09:02 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:12:21 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:13:17 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:14:56 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:16:47 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:18:27 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:20:18 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:30:16 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 09:35:50 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 09:45:49 Kessel Direkt-Ladung                   DK2 GPIO 26 eingeschaltet             
2021.03.01 09:47:29 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.03.01 10:00:46 Kessel Direkt-Ladung                   DK2 GPIO 26 eingeschaltet             
2021.03.01 10:14:01 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 10:14:03 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.03.01 10:49:14 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 11:07:29 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 12:17:05 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.03.01 12:22:37 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 12:22:38 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.03.01 12:26:26 ENDE Entladesteuerung  >> V1.7 build 2021.02.26 buster << 
2021.03.01 12:26:26 mit KeyboardInterrupt (CTRL+C oder Strg+C)
2021.03.01 12:27:45 Neustart Entladesteuerung   >> V1.7 build 2021.02.26 buster <<   Initialisierung :
2021.03.01 12:27:45 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 12:27:46 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.03.01 12:27:47 Unterbrechung ONE-Wire Bus             WK4 GPIO 13 ausgeschaltet             
2021.03.01 12:27:48 Boiler Nacht(BK1)- / Direktladung(DK1) KK1 GPIO 19 ausgeschaltet             
2021.03.01 12:27:48 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.03.01 12:27:53 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.03.01 12:27:54 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.03.01 12:33:10 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.03.01 12:33:11 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.12.03 13:32:06 ............ neuer Tag .........................................
2021.12.03 13:32:06 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.12.03 13:32:07 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.12.03 13:32:07 ping Funktemperaturstation TFA 3035    WK3 GPIO 20 ausgeschaltet             
2021.12.03 13:32:08 Unterbrechung ONE-Wire Bus             WK4 GPIO 13 ausgeschaltet             
2021.12.03 13:32:08 Garten                                 GK1 GPIO 21 ausgeschaltet             
2021.12.03 13:32:09 Boiler Nacht(BK1)- / Direktladung(DK1) KK1 GPIO 19 ausgeschaltet             
2021.12.03 13:32:09 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
